# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       7.116894014384e-01       1.505475702322e+02 
       7.148953530792e-01       1.490529371359e+02 
       7.181013047767e-01       1.475798354136e+02 
       7.213072565302e-01       1.461280457627e+02 
       7.245132083388e-01       1.446966027401e+02 
       7.277191602020e-01       1.432843276508e+02 
       7.309251121189e-01       1.418899804088e+02 
       7.341310640889e-01       1.405132066996e+02 
       7.373370161113e-01       1.391537293118e+02 
       7.405429681854e-01       1.378130855971e+02 
       7.437489203104e-01       1.364907846262e+02 
       7.469548724859e-01       1.351872729616e+02 
       7.501608247110e-01       1.339019684495e+02 
       7.533667769852e-01       1.326336865890e+02 
       8.234874576443e-01       1.086168872803e+02 
       9.251239653234e-01       8.340952870481e+01 
       1.086877471844e+00       5.758169931388e+01 
