# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   95       3.423337508850e-10       9.417171838702e-14      -2.669022085420e-12       3.682712215561e-16       1.161665988275e-11       1.557248111241e-12      -7.580378883978e-15 
   96       3.463994716962e-10       9.623623506748e-14      -2.756787226285e-12       3.761348773088e-16       1.130523399910e-11       1.523468155669e-12      -7.511537452029e-15 
   97       3.504944797828e-10       9.828956416436e-14      -2.844930817336e-12       3.840872424517e-16       1.100481441419e-11       1.490780988682e-12      -7.436704534633e-15 
   98       3.546185948939e-10       1.003297867861e-13      -2.933387731880e-12       3.921288712261e-16       1.071515437530e-11       1.459166603224e-12      -7.357180412530e-15 
   99       3.587714650039e-10       1.023549565962e-13      -3.022091631767e-12       4.002603446492e-16       1.043589646449e-11       1.428593511498e-12      -7.274376467663e-15 
  100       3.629525592626e-10       1.043631002439e-13      -3.110974985337e-12       4.084822710841e-16       1.016656879589e-11       1.399018342687e-12      -7.189817929352e-15 
  101       3.671611609438e-10       1.063522177952e-13      -3.199969085355e-12       4.167952868096e-16       9.906581213002e-12       1.370385440669e-12      -7.105146620452e-15 
  102       3.713963603954e-10       1.083202831633e-13      -3.289004066956e-12       4.252000565898e-16       9.655221485981e-12       1.342626461742e-12      -7.022123703523e-15 
  103       3.756570479884e-10       1.102652445395e-13      -3.378008925586e-12       4.336972742435e-16       9.411651508937e-12       1.315659972341e-12      -6.942632426995e-15 
  104       3.799421473445e-10       1.121850759491e-13      -3.466912095154e-12       4.422876430912e-16       9.175097318469e-12       1.289410570792e-12      -6.868274061738e-15 
  105       3.842513660849e-10       1.140779389232e-13      -3.555643232790e-12       4.509718130604e-16       8.945456573368e-12       1.263870060827e-12      -6.799087632336e-15 
  106       3.885845338245e-10       1.159420435709e-13      -3.644131709752e-12       4.597504361064e-16       8.722766429250e-12       1.239043830221e-12      -6.734661554697e-15 
  107       3.929413665932e-10       1.177756003854e-13      -3.732306096550e-12       4.686241859210e-16       8.507015392676e-12       1.214931879231e-12      -6.674523298377e-15 
